PID;Name;Title;PublicationType;ContentType;Journal;JournalISSN;Status;Volume;Issue;HostPublication;Year;Edition;Publisher;Series;SeriesISSN;ISBN;Urls;DOI;ISI;CreatedDate;PublicationDate;LastUpdated;FullTextLink;NumberOfAuthors;FridaLevel;PartOfThesis;PublicationSubtype;Conference
274919;"Novotny, Ann (University of Gothenburg);Rydberg, Kristin (Karlstad University);Nilsson, Linn (Kungälv District Hospital);Khorram-Manesh, Amir (Växjö Central Hospital);Nordgren, Svante (University of Gothenburg);Delbro, Dick (University of Gothenburg ; Karlstad University);Nylund, Gunnar (Södra Älvsborg's Hospital)";Is acetylcholine a signaling molecule for human colon cancer progression?;Artikel i tidskrift;Refereegranskat;Scandinavian Journal of Gastroenterology;0036-5521;published;46;4;;2011;;;;;;;10.3109/00365521.2010.539252;;02/11/09;03/11/09;11/03/16;;7;1;urn:nbn:se:hik:diva-2348;;
281456;"Holst, Göran (Blekinge Tekniska Högskola) (SNAC-Blekinge);Rennemark, Mikael [mresvi] (Linnéuniversitetet [4853], Fakultetsnämnden för hälsa, socialt arbete och beteendevetenskap [5450], Institutionen för pedagogik, psykologi och idrottsvetenskap, PPI [5456]) (SNAC-Blekinge);Rahm Hallberg, Ingalill (SNAC-Blekinge)";Self and next of kin's assessment of personality and sense of coherence in elderly people : Implications for dementia care.;Artikel i tidskrift;Refereegranskat;Dementia;1471-3012;published;11;1;;2012;;;;;;;10.1177/1471301211421238;;16/12/09;16/12/09;13/01/12;;3;1;;;
287016;Silander, Daniel [dsisvi] (Linnéuniversitetet [4853], Fakultetsnämnden för humaniora och samhällsvetenskap [5451], Institutionen för samhällsvetenskaper, SV [5460]) (Statsvetenskap);Kosovo´s Independence in Retrospective : UNMIK`s Policy Under Scrutiny;Artikel i tidskrift;Refereegranskat;Balkanistica;0360-2206;published;25;1;;2012;;;;;;;;;16/01/10;16/01/10;10/01/14;;1;1;;;
287506;Almasri, Abdullah [aalehv] (Linnéuniversitetet [4853], Fakultetsnämnden för ekonomi och design [5452], Ekonomihögskolan, ELNU [5461]) (Economics and Statistics, CAFO);A New Approach for testing Periodicity;Artikel i tidskrift;Refereegranskat;Communications in Statistics - Theory and Methods;0361-0926;published;40;7;;2011;;Taylor & Francis;;;;;10.1080/03610920903564743;;18/01/10;18/01/10;22/03/13;;1;1;;;
287657;"Bruhn, Jørgen [jbrhum] [0000-0003-2685-9510] (Linnéuniversitetet [4853], Fakultetsnämnden för humaniora och samhällsvetenskap [5451], Institutionen för språk och litteratur, SOL [5458]) (ims);Gjelsvik, Anne;Thune, Henriette";Parallel worlds of possible meetings in <em>Let The Right One In</em>;Artikel i tidskrift;Refereegranskat;Word and Image;0266-6286;published;27;1;;2011;;;;;;;10.1080/02666281003683882;;19/01/10;19/01/10;27/04/16;;3;2;;;
297897;Ekberg, Jan [jekiej] (Linnéuniversitetet [4853], Fakultetsnämnden för ekonomi och design [5452], Ekonomihögskolan, ELNU [5461]) (Centrum för arbetsmarknadspolitisk forskning (CAFO) Nationalekonomi och statistik);Will future immigration to Sweden make it easier to finance the welfare system?;Artikel i tidskrift;Refereegranskat;European Journal of Population;0168-6577;published;27;1;;2011;;SpringerLink;;;;;10.1007/s10680-010-9227-5;;19/02/10;19/02/10;31/01/11;;1;1;;;
300726;"Marklund, Johan (Lunds universitet) (Tekniska högskolan, Produktionsekonomi);Rosling, Kaj [krosot] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för teknik, TEK [5464])";Lower Bounds and Heuristics for Supply Chain Stock Allocation;Artikel i tidskrift;Refereegranskat;Operations Research;0030-364X;published;60;1;;2012;;;;;;;10.1287/opre.1110.1009;;28/02/10;28/02/10;20/04/15;;2;2;;;
309181;Hultén, Bertil [ehube] (Linnéuniversitetet [4853], Fakultetsnämnden för ekonomi och design [5452], Ekonomihögskolan, ELNU [5461]);Sensory Marketing : the Multi-Sensory-Brand Experience Concept;Artikel i tidskrift;Refereegranskat;European Business Review;0955-534X;published;23;3;;2011;;;;;;;10.1108/09555341111130245;;06/04/10;06/04/10;17/01/12;;1;1;;;
309189;Carlsson, Magnus [fcama] [0000-0002-5620-4745] (Linnéuniversitetet [4853], Fakultetsnämnden för ekonomi och design [5452], Ekonomihögskolan, ELNU [5461]);Does Hiring Discrimination Cause Gender Segregation in the Swedish Labor Market?;Artikel i tidskrift;Refereegranskat;Feminist Economics;1354-5701;published;7;3;;2011;;;;;;;10.1080/13545701.2011.580700;;06/04/10;06/04/10;16/01/15;;1;1;;;
309339;"Hovstadius, Bo [ehobo] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463]);Åstrand, Bengt [fasbe] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463]);Petersson, Göran [epego] (Linnéuniversitetet [4853], Fakultetsnämnden för hälsa, socialt arbete och beteendevetenskap [5450], Institutionen för hälso- och vårdvetenskap, HV [5455]);Persson, Ulf (Institute of Economic Research, School of Economics and Management, University of Lund)";Acquisition cost of dispensed drugs for individuals with multiple medications – a register-based study;Artikel i tidskrift;Refereegranskat;Health Policy;0168-8510;published;101;2;;2011;;;;;;;10.1016/j.healthpol.2011.03.003;;07/04/10;07/04/10;15/06/11;;4;1;urn:nbn:se:lnu:diva-2336;;
