Author;IdInDiva;Type;Year;LevelND
Abbas, Nadeem;475816;Konferensbidrag;2011;1
Abbas, Nadeem;475837;Konferensbidrag;2011;1
Abbas, Nadeem;623029;Konferensbidrag;2012;1
Abbas, Nadeem;641058;Konferensbidrag;2013;1
Abbas, Nadeem;895978;Konferensbidrag;2015;1
Abbas, Nadeem;916013;Konferensbidrag;2015;1
Ablay, Talip;631138;Konferensbidrag;2013;0
Abrahamsson, Victor;607289;Artikel i tidskrift;2012;1
Ackesjö, Helena;416995;Bok;2011;1
Ackesjö, Helena;443356;Kapitel i bok, del av antologi;2011;1
Ackesjö, Helena;443357;Kapitel i bok, del av antologi;2011;1
Ackesjö, Helena;443360;Konferensbidrag;2011;0
Ackesjö, Helena;512684;Kapitel i bok, del av antologi;2012;1
Ackesjö, Helena;552217;Bok;2012;1
Ackesjö, Helena;612112;Artikel i tidskrift;2013;1
Ackesjö, Helena;650141;Artikel i tidskrift;2013;1
Ackesjö, Helena;680444;Artikel i tidskrift;2013;0
Ackesjö, Helena;738474;Artikel i tidskrift;2014;1
Ackesjö, Helena;795702;Artikel i tidskrift;2014;0
Ackesjö, Helena;819096;Artikel i tidskrift;2014;1
Ackesjö, Helena;856927;Artikel i tidskrift;2015;1
Adamopoulos, Stergios;801265;Artikel i tidskrift;2015;1
Adamopoulos, Stergios;805467;Artikel i tidskrift;2015;1
Adamopoulos, Stergios;815783;Konferensbidrag;2015;0
Adamopoulos, Stergios;824128;Konferensbidrag;2015;1
Adamopoulos, Stergios;846300;Artikel i tidskrift;2015;1
Adamopoulos, Stergios;858331;Konferensbidrag;2015;0
Adamopoulos, Stergios;861530;Konferensbidrag;2015;0
Adamopoulos, Stergios;861532;Konferensbidrag;2015;0
Adamopoulos, Stergios;866237;Konferensbidrag;2015;0
Adbo, Karina;505628;Kapitel i bok, del av antologi;2013;1
Adbo, Karina;663223;Artikel i tidskrift;2014;2
Adeniji, Anna;790909;Kapitel i bok, del av antologi;2014;2
Adetorp, Johan;564601;Artikel i tidskrift;2011;1
Adetorp, Johan;939452;Artikel i tidskrift;2015;1
Adolfsson, Carl-Henrik;579831;Artikel i tidskrift;2012;1
Adolfsson, Carl-Henrik;579851;Konferensbidrag;2011;0
Adolfsson, Carl-Henrik;712924;Konferensbidrag;2013;0
Agerström, Jens;463541;Artikel i tidskrift;2012;1
Agerström, Jens;464516;Artikel i tidskrift;2011;2
Agerström, Jens;609714;Artikel i tidskrift;2013;1
Agerström, Jens;609723;Kapitel i bok, del av antologi;2013;1
Agerström, Jens;725477;Artikel i tidskrift;2014;1
Agerström, Jens;725480;Artikel i tidskrift;2013;1
Agerström, Jens;731838;Artikel i tidskrift;2014;1
Agevall Gross, Lotta;924948;Artikel i tidskrift;2015;1
Agevall, Lena;453074;Konferensbidrag;2011;0
Agevall, Lena;529403;Kapitel i bok, del av antologi;2012;1
Agevall, Ola;532636;Kapitel i bok, del av antologi;2012;0
Agevall, Ola;532641;Konferensbidrag;2011;0
Agevall, Ola;532644;Konferensbidrag;2012;0
Agevall, Ola;610457;Kapitel i bok, del av antologi;2013;1
Agevall, Ola;612815;Konferensbidrag;2012;0
Agevall, Ola;678666;Artikel i tidskrift;2013;1
Agevall, Ola;771623;Kapitel i bok, del av antologi;2014;2
Agevall, Ola;857495;Kapitel i bok, del av antologi;2015;1
Ahlberg, Jenny;452529;Konferensbidrag;2011;0
Ahlberg, Jenny;576353;Konferensbidrag;2012;0
Ahlberg, Jenny;577322;Konferensbidrag;2012;0
