seqno;TITLE;PUBLISHER;PUBLICATION WEBSITE;ISSN;E-ISSN;PUBLICATION COUNTRY;LANGUAGE;PUBLICATION FREQUENCY;ISSUES PER YEAR;SCIE;SSCI;AHCI
C6942J;ACM Transactions on Computational Logic;ASSOC COMPUTING MACHINERY;http://tocl.acm.org/;1529-3785;1557-945X;UNITED STATES;English;Q;4;Yes;No;No
04795J;ACM TRANSACTIONS ON COMPUTER SYSTEMS;ASSOC COMPUTING MACHINERY;http://tocs.acm.org/;0734-2071;1557-7333;UNITED STATES;English;Q;4;Yes;No;No
C7771J;ACM Transactions on Computer-Human Interaction;ASSOC COMPUTING MACHINERY;http://tochi.acm.org/;1073-0516;1557-7325;UNITED STATES;English;Q;4;Yes;No;No
D3451J;ACM Transactions on Computing Education;ASSOC COMPUTING MACHINERY;http://dl.acm.org/pub.cfm?id=J1193;1946-6226;1946-6226;UNITED STATES;English;Q;4;Yes;No;No
03624J;ACM TRANSACTIONS ON DATABASE SYSTEMS;ASSOC COMPUTING MACHINERY;http://tods.acm.org/;0362-5915;1557-4644;UNITED STATES;English;Q;4;Yes;No;No
13307J;ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS;ASSOC COMPUTING MACHINERY;http://todaes.acm.org/;1084-4309;1557-7309;UNITED STATES;English;Q;4;Yes;No;No
C8124J;ACM Transactions on Embedded Computing Systems;ASSOC COMPUTING MACHINERY;http://acmtecs.acm.org/;1539-9087;1558-3465;UNITED STATES;English;Q;4;Yes;No;No
04191J;ACM TRANSACTIONS ON GRAPHICS;ASSOC COMPUTING MACHINERY;http://tog.acm.org/;0730-0301;1557-7368;UNITED STATES;English;B;6;Yes;No;No
C7898J;ACM Transactions on Information and System Security;ASSOC COMPUTING MACHINERY;http://tissec.acm.org/;1094-9224;1557-7406;UNITED STATES;English;Q;4;Yes;No;No
09068J;ACM TRANSACTIONS ON INFORMATION SYSTEMS;ASSOC COMPUTING MACHINERY;http://tois.acm.org/;1046-8188;1558-2868;UNITED STATES;English;Q;4;Yes;No;No
